Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"JL Neyro, MÁ Elorriaga, S Palacios",Terapia hormonal renacida: algunos interrogantes,2018,Revista de la Federación …,revcog.org,http://www.revcog.org/index.php/revcog/article/view/566/475,,276,2/3/2022 14:17,PDF,,,,,,,,0,0,0,3,4,La transición menopáusica es un periodo de capital importancia en la vida de la mujer para determinar cuál será su salud en los años siguientes de la madurez y la senilidad. La terapia hormonal ha pasado de ser la panacea en el mantenimiento de la eterna juventud a …,http://www.revcog.org/index.php/revcog/article/view/566/475,"https://scholar.google.com/scholar?q=related:CqzJ9AssExAJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
0,"CI Cerpa Cotera, CM Hurtado Ataucusi, ...",Factores asociados a las caídas de pacientes hospitalizados en el servicio de emergencia del Hospital Nacional Alberto Sabogal Sologuren durante el año 2017,2019,,repositorio.unac.edu.pe,http://repositorio.unac.edu.pe/handle/20.500.12952/4490,,277,2/3/2022 14:17,,,,,,,,,0,0,0,3,3,"La presente investigación, cuyo objetivo fue determinar los factores asociados a caídas, tanto internos (del propio paciente) como externos (del medio o entorno) de los pacientes hospitalizados en el servicio de emergencia del Hospital sabogal durante el año 2017 …","http://repositorio.unac.edu.pe/bitstream/handle/20.500.12952/4490/VERASTEGUI,%20CERPA,%20ATAUCUSI%20FCS%202DA%20ESPECIALIDAD%202019.pdf?sequence=4","https://scholar.google.com/scholar?q=related:dmHh9kKyIm4J:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2013&as_yhi=2021"
6548,"W Hopkins, S Marshall, A Batterham, J Hanin",Progressive statistics for studies in sports medicine and exercise science,2009,Medicine+ Science in Sports+ …,ugr.es,https://www.ugr.es/~fmocan/MATERIALES%20DOCTORADO/Progressive%20Statistics%20for%20Studies%20in%20Sports.pdf,"https://scholar.google.com/scholar?cites=16378311250787021078&as_sdt=40005&sciodt=0,10&hl=en",1,2/3/2022 13:42,PDF,,,,,,,,6548,503.69,1637,4,13,"ABSTRACT HOPKINS, WG, SW MARSHALL, AM BATTERHAM, and J. HANIN. Progressive Statistics for Studies in Sports Medicine and Exercise Science. Med. Sci. Sports Exerc., Vol. 41, No. 1, pp. 3–12, 2009. Statistical guidelines and expert statements are now available to …",https://www.ugr.es/~fmocan/MATERIALES%20DOCTORADO/Progressive%20Statistics%20for%20Studies%20in%20Sports.pdf,"https://scholar.google.com/scholar?q=related:FrHxe05zS-MJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
4786,"JP Vandenbroucke, E Von Elm, DG Altman, ...",Strengthening the Reporting of Observational Studies in Epidemiology (STROBE): explanation and elaboration,2007,PLoS …,journals.plos.org,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.0040297,"https://scholar.google.com/scholar?cites=9147976230704050792&as_sdt=40005&sciodt=0,10&hl=en",2,2/3/2022 13:42,HTML,,,,,,,,4786,319.07,1197,4,15,Much medical research is observational. The reporting of observational studies is often of insufficient quality. Poor reporting hampers the assessment of the strengths and weaknesses of a study and the generalisability of its results. Taking into account empirical …,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.0040297,"https://scholar.google.com/scholar?q=related:aPLU7Okj9H4J:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
3623,JR Harris,The nurture assumption: Why children turn out the way they do,2011,,books.google.com,https://books.google.com/books?hl=en&lr=&id=QwSM8j03qIYC&oi=fnd&pg=PR15&ots=MbM77x9v0B&sig=7gtLeyUmBRbYb2_EVuepN-Sdr0Y,"https://scholar.google.com/scholar?cites=14081217600200217652&as_sdt=40005&sciodt=0,10&hl=en",3,2/3/2022 13:42,BOOK,,,,,,,,3623,329.36,3623,1,11,"A NEW YORK TIMES NOTABLE BOOK How much credit do parents deserve when their children turn out welt? How much blame when they turn out badly? Judith Rich Harris has a message that will change parents' lives: The"" nurture assumption""--the belief that what …",,"https://scholar.google.com/scholar?q=related:NJTpSM2IasMJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
2192,DR Anderson,Model based inference in the life sciences: a primer on evidence,2008,,Springer,https://link.springer.com/book/10.1007/978-0-387-74075-1,"https://scholar.google.com/scholar?cites=3220719698276375474&as_sdt=40005&sciodt=0,10&hl=en",4,2/3/2022 13:42,BOOK,10.1007/978-0-387-74075-1,,,,,,,2192,156.57,2192,1,14,"The abstract concept of"" information"" can be quantified and this has led to many important advances in the analysis of data in the empirical sciences. This text focuses on a science philosophy based on"" multiple working hypotheses"" and statistical models to represent …",https://www.ncca.navy.mil/tools/csruh/References/061_2008.pdf,"https://scholar.google.com/scholar?q=related:stvdYIBLsiwJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
1126,"H Chen, P Cohen, S Chen",How big is a big odds ratio? Interpreting the magnitudes of odds ratios in epidemiological studies,2010,Communications in Statistics …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/03610911003650383,"https://scholar.google.com/scholar?cites=4174591638553659057&as_sdt=40005&sciodt=0,10&hl=en",5,2/3/2022 13:42,,10.1080/03610911003650383,,,,,,,1126,93.83,375,3,12,The odds ratio (OR) is probably the most widely used index of effect size in epidemiological studies. The difficulty of interpreting the OR has troubled many clinical researchers and epidemiologists for a long time. We propose a new method for interpreting the size of the OR …,https://www.researchgate.net/profile/Fei-Xin/post/How_to_determine_the_magnitude_of_ORs_in_logistic_regression/attachment/603e25716e8959000110d82e/AS%3A996877617082369%401614685553487/download/Chen-2010-How-big-is-a-big-odds-ratio-interpr.pdf,"https://scholar.google.com/scholar?q=related:sYZOMvog7zkJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
1076,"JL Peters, AJ Sutton, DR Jones, KR Abrams, ...",Contour-enhanced meta-analysis funnel plots help distinguish publication bias from other causes of asymmetry,2008,Journal of clinical …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0895435607004350,"https://scholar.google.com/scholar?cites=14027412301391642960&as_sdt=40005&sciodt=0,10&hl=en",6,2/3/2022 13:42,,,,,,,,,1076,76.86,215,5,14,Objectives To present the contour-enhanced funnel plot as an aid to differentiating asymmetry due to publication bias from that due to other factors. Study Design and Setting An enhancement to the usual funnel plot is proposed that allows the statistical significance …,https://www.rama.mahidol.ac.th/ceb/sites/default/files/public/pdf/course/2014/618/Appendix%205.pdf,"https://scholar.google.com/scholar?q=related:UMFk7iphq8IJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
1006,N Krieger,Epidemiology and the people's health: theory and context,2011,,books.google.com,https://books.google.com/books?hl=en&lr=&id=Z59ciXRRaPsC&oi=fnd&pg=PP2&ots=KAM-og7cht&sig=dSkqEbD9fBqVOqWcdetHecLRml8,"https://scholar.google.com/scholar?cites=927073974456906309&as_sdt=40005&sciodt=0,10&hl=en",7,2/3/2022 13:42,BOOK,,,,,,,,1006,91.45,1006,1,11,"This concise, conceptually rich, and accessible book is a rallying cry for a return to the study and discussion of epidemiologic theory: what it is, why it matters, how it has changed over time, and its implications for improving population health and promoting health equity. By …",,"https://scholar.google.com/scholar?q=related:RXIDMN6g3QwJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
920,"F Song, S Parekh, L Hooper, YK Loke, ...",Dissemination and publication of research findings: an updated review of related biases,2010,Health technology …,journalslibrary.nihr.ac.uk,https://www.journalslibrary.nihr.ac.uk/hta/hta14080/?source=post_page---------------------------.pr.pr.pr,"https://scholar.google.com/scholar?cites=7840878693829526395&as_sdt=40005&sciodt=0,10&hl=en",8,2/3/2022 13:42,HTML,,,,,,,,920,76.67,184,5,12,"Objectives To identify and appraise empirical studies on publication and related biases published since 1998; to assess methods to deal with publication and related biases; and to examine, in a random sample of published systematic reviews, measures taken to prevent …",https://www.journalslibrary.nihr.ac.uk/hta/hta14080/?source=post_page---------------------------.pr.pr.pr,"https://scholar.google.com/scholar?q=related:e0OjGKFl0GwJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
760,A Petronis,Epigenetics as a unifying principle in the aetiology of complex traits and diseases,2010,Nature,nature.com,https://www.nature.com/articles/nature09230,"https://scholar.google.com/scholar?cites=15422109302320238370&as_sdt=40005&sciodt=0,10&hl=en",9,2/3/2022 13:42,,,,,,,,,760,63.33,760,1,12,Epigenetic modifications of DNA and histones might be crucial for understanding the molecular basis of complex phenotypes. One reason for this is that epigenetic factors are sometimes malleable and plastic enough to react to cues from the external and internal …,http://wiki.helsinki.fi/download/attachments/59060361/Epigenetics%2Band%2Bcomplex%2Btraits.pdf,"https://scholar.google.com/scholar?q=related:Io8LXLNWBtYJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
624,"AE Hardman, DJ Stensel",Physical activity and health: the evidence explained,2009,,taylorfrancis.com,https://www.taylorfrancis.com/books/mono/10.4324/9780203890714/physical-activity-health-adrianne-hardman-david-stensel,"https://scholar.google.com/scholar?cites=10454095801358537790&as_sdt=40005&sciodt=0,10&hl=en",10,2/3/2022 13:42,BOOK,10.4324/9780203890714,,,,,,,624,48,312,2,13,"Physical Activity and Health explains clearly, systematically and in detail the relationships between physical activity, health and disease, and examines the benefits of exercise in the prevention and treatment of a wide range of important conditions. Now in a fully updated and …",,"https://scholar.google.com/scholar?q=related:PtTgP75oFJEJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
564,"M Tubiana, LE Feinendegen, C Yang, JM Kaminski",The Linear No-Threshold Relationship Is Inconsistent with Radiation Biologic and Experimental Data1,2009,Radiology,pubs.rsna.org,https://pubs.rsna.org/doi/abs/10.1148/radiol.2511080671,"https://scholar.google.com/scholar?cites=2319874338218233217&as_sdt=40005&sciodt=0,10&hl=en",11,2/3/2022 13:42,,10.1148/radiol.2511080671,,,,,,,564,43.38,141,4,13,"The carcinogenic risk induced by low doses of ionizing radiation is controversial. It cannot be assessed with epidemiologic methods alone because at low doses the data are imprecise and often conflicting. Since the 1970s, the radiation protection community has …",https://pubs.rsna.org/doi/full/10.1148/radiol.2511080671,"https://scholar.google.com/scholar?q=related:gc0KXWvZMSAJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
511,"JL Peters, AJ Sutton, DR Jones, KR Abrams, ...",Performance of the trim and fill method in the presence of publication bias and between?study heterogeneity,2007,Statistics in …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/sim.2889,"https://scholar.google.com/scholar?cites=2767313832057898007&as_sdt=40005&sciodt=0,10&hl=en",12,2/3/2022 13:42,,10.1002/sim.2889,,,,,,,511,34.07,102,5,15,"The trim and fill method allows estimation of an adjusted meta?analysis estimate in the presence of publication bias. To date, the performance of the trim and fill method has had little assessment. In this paper, we provide a more comprehensive examination of different …",,"https://scholar.google.com/scholar?q=related:FwTWtUR5ZyYJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
412,"SM Friedman, S Dunwoody, CL Rogers",Communicating uncertainty: Media coverage of new and controversial science,2012,,taylorfrancis.com,https://www.taylorfrancis.com/books/mono/10.4324/9781410601360/communicating-uncertainty-sharon-friedman-sharon-dunwoody-carol-rogers,"https://scholar.google.com/scholar?cites=3548846872016708369&as_sdt=40005&sciodt=0,10&hl=en",13,2/3/2022 13:42,BOOK,10.4324/9781410601360,,,,,,,412,41.2,137,3,10,"Exploring the interactions that swirl around scientific uncertainty and its coverage by the mass media, this volume breaks new ground by looking at these issues from three different perspectives: that of communication scholars who have studied uncertainty in a number of …",,"https://scholar.google.com/scholar?q=related:EePPcG0JQDEJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
367,"J Niederdeppe, RC Hornik, BJ Kelly, ...",Examining the dimensions of cancer-related information seeking and scanning behavior,2007,Health …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/10410230701454189,"https://scholar.google.com/scholar?cites=4286905877464118688&as_sdt=40005&sciodt=0,10&hl=en",14,2/3/2022 13:42,,10.1080/10410230701454189,,,,,,,367,24.47,92,4,15,"Recent decades have witnessed a growing emphasis on patients as active consumers of health information. The literature about cancer-related information focuses on active and purposeful information seeking, but a great deal of exposure to cancer-relevant information …",https://www.academia.edu/download/50098341/Examining_the_Dimensions_of_Cancer-Relat20161104-19878-1mq8muu.pdf,"https://scholar.google.com/scholar?q=related:oHXIuy4mfjsJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
283,"PR Burton, AL Hansell, I Fortier, ...",Size matters: just how big is BIG? Quantifying realistic sample size requirements for human genome epidemiology,2009,International journal …,academic.oup.com,https://academic.oup.com/ije/article-abstract/38/1/263/692430,"https://scholar.google.com/scholar?cites=3210168215534009401&as_sdt=40005&sciodt=0,10&hl=en",15,2/3/2022 13:42,,,,,,,,,283,21.77,71,4,13,"Background Despite earlier doubts, a string of recent successes indicates that if sample sizes are large enough, it is possible—both in theory and in practice—to identify and replicate genetic associations with common complex diseases. But human genome …",https://academic.oup.com/ije/article/38/1/263/692430,"https://scholar.google.com/scholar?q=related:OXwn3PvOjCwJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
277,DG Clayton,Prediction and interaction in complex disease genetics: experience in type 1 diabetes,2009,PLoS genetics,journals.plos.org,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1000540,"https://scholar.google.com/scholar?cites=663901924433247890&as_sdt=40005&sciodt=0,10&hl=en",16,2/3/2022 13:42,HTML,,,,,,,,277,21.31,277,1,13,"Much of the public media discussion of genetics of common diseases has centered on opportunities for targeted preventive actions. At the same time, in the specialist literature, there has been extensive discussion of ''interaction,''both between genes and between …",https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1000540,"https://scholar.google.com/scholar?q=related:kr6KY0inNgkJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
250,JB Wolf,Is breast really best? Risk and total motherhood in the national breastfeeding awareness campaign,2007,"Journal of health politics, policy and law",read.dukeupress.edu,https://read.dukeupress.edu/jhppl/article-abstract/32/4/595/93544,"https://scholar.google.com/scholar?cites=13217284903875316879&as_sdt=40005&sciodt=0,10&hl=en",17,2/3/2022 13:42,,,,,,,,,250,16.67,250,1,15,"From June 2004 to April 2006, cosponsored by the US Department of Health and Human Services and the Ad Council, the National Breastfeeding Awareness Campaign (NBAC) warned women that not breast-feeding put babies at risk for a variety of health …",https://read.dukeupress.edu/jhppl/article-pdf/32/4/595/359225/JHPPL324_04_Wolf.pdf,"https://scholar.google.com/scholar?q=related:jwyfhpc6bbcJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
246,R Lyons,The spread of evidence-poor medicine via flawed social-network analysis,2011,"Statistics, Politics, and Policy",degruyter.com,https://www.degruyter.com/document/doi/10.2202/2151-7509.1024/html,"https://scholar.google.com/scholar?cites=14757374390407851165&as_sdt=40005&sciodt=0,10&hl=en",18,2/3/2022 13:42,,10.2202/2151-7509.1024,,,,,,,246,22.36,246,1,11,"The chronic widespread misuse of statistics is usually inadvertent, not intentional. We find cautionary examples in a series of recent papers by Christakis and Fowler that advance statistical arguments for the transmission via social networks of various personal …",https://arxiv.org/pdf/1007.2876,"https://scholar.google.com/scholar?q=related:ney09dG5zMwJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
231,"DA Grimes, KF Schulz",False alarms and pseudo-epidemics: the limitations of observational epidemiology,2012,Obstetrics & Gynecology,journals.lww.com,https://journals.lww.com/greenjournal/Fulltext/2012/10000/False_Alarms_and_Pseudo_Epidemics__The_Limitations.25.aspx,"https://scholar.google.com/scholar?cites=1444388806542493284&as_sdt=40005&sciodt=0,10&hl=en",19,2/3/2022 13:42,,,,,,,,,231,23.1,116,2,10,"Most reported associations in observational clinical research are false, and the minority of associations that are true are often exaggerated. This credibility problem has many causes, including the failure of authors, reviewers, and editors to recognize the inherent limitations of …",,"https://scholar.google.com/scholar?q=related:ZAaEg_d_CxQJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
215,"DM Hafeman, S Schwartz",Opening the Black Box: a motivation for the assessment of mediation,2009,International journal of epidemiology,academic.oup.com,https://academic.oup.com/ije/article-abstract/38/3/838/683638,"https://scholar.google.com/scholar?cites=7486673567326651364&as_sdt=40005&sciodt=0,10&hl=en",20,2/3/2022 13:42,,,,,,,,,215,16.54,108,2,13,"Recent criticism of epidemiologic methods has focused on the limitations of 'black box'epidemiology, a pejorative label given to the simple identification of exposure–disease relationships. The assessment of mediation is an important tool for addressing this criticism …",https://academic.oup.com/ije/article/38/3/838/683638,"https://scholar.google.com/scholar?q=related:5MPPgfEB5mcJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
190,"P Boffetta, JK McLaughlin, C La Vecchia, ...",False-positive results in cancer epidemiology: a plea for epistemological modesty,2008,Journal of the …,academic.oup.com,https://academic.oup.com/jnci/article-abstract/100/14/988/914122,"https://scholar.google.com/scholar?cites=4165423176683678687&as_sdt=40005&sciodt=0,10&hl=en",21,2/3/2022 13:42,,,,,,,,,190,13.57,48,4,14,False-positive results are inherent in the scientific process of testing hypotheses concerning the determinants of cancer and other human illnesses. Although much of what is known about the etiology of human cancers has arisen from well-conducted epidemiological …,https://academic.oup.com/jnci/article/100/14/988/914122,"https://scholar.google.com/scholar?q=related:3-toUU-OzjkJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
190,"JR Hebert, TG Hurley, KE Peterson, ...",Social desirability trait influences on self-reported dietary measures among diverse participants in a multicenter multiple risk factor trial,2008,The Journal of …,academic.oup.com,https://academic.oup.com/jn/article/138/1/226S/4665046?gca=138%252F1%252F185S&gca=138%252F1%252F193S&gca=138%252F1%252F200S&gca=138%252F1%252F205S&gca=138%252F1%252F212S&gca=138%252F1%252F218S&gca=138%252F1%252F226S&sendit=Get%20All%20Checked%20Abstract,"https://scholar.google.com/scholar?cites=2191210917989530369&as_sdt=40005&sciodt=0,10&hl=en",22,2/3/2022 13:42,HTML,,,,,,,,190,13.57,48,4,14,"Abstract Data collected at 4 Behavioral Change Consortium sites were used to assess social desirability bias in self-reports derived from a dietary fat screener (PFat), a dietary fruit and vegetable screener (FVS), and a 1-item question on fruit and vegetable intake. Comparisons …",https://academic.oup.com/jn/article/138/1/226S/4665046?gca=138%252F1%252F185S&gca=138%252F1%252F193S&gca=138%252F1%252F200S&gca=138%252F1%252F205S&gca=138%252F1%252F212S&gca=138%252F1%252F218S&gca=138%252F1%252F226S&sendit=Get%20All%20Checked%20Abstract,"https://scholar.google.com/scholar?q=related:ATu5ari-aB4J:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
183,"DF Ransohoff, ML Gourlay",Sources of bias in specimens for research about molecular markers for cancer,2010,Journal of clinical oncology,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc2816003/,"https://scholar.google.com/scholar?cites=13751391693037805524&as_sdt=40005&sciodt=0,10&hl=en",23,2/3/2022 13:42,HTML,,,,,,,,183,15.25,92,2,12,"Claims about the diagnostic or prognostic accuracy of markers often prove disappointing when “discrimination” found between cancers versus normals is due to bias, a systematic difference between compared groups. This article describes a framework to help simplify …",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc2816003/,"https://scholar.google.com/scholar?q=related:1J_GBuPB1r4J:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
178,"NF Goodman, RH Cobin, SB Ginzburg, ...",American Association of Clinical Endocrinologists Medical Guidelines for Clinical Practice for the diagnosis and treatment of menopause,2011,Endocrine …,endocrinepractice.org,https://www.endocrinepractice.org/article/S1530-891X(20)43378-6/abstract,"https://scholar.google.com/scholar?cites=17419043860474296080&as_sdt=40005&sciodt=0,10&hl=en",24,2/3/2022 13:42,HTML,,,,,,,,178,16.18,45,4,11,AACE= American Association of Clinical Endocrinologists; BEL= best evidence level; CAD= coronary artery disease; CCS= consecutive case series; CEE= conjugated equine estrogen; CHD= coronary heart disease; CIs= confidence intervals; CSS= crosssectional study; EL …,https://www.endocrinepractice.org/article/S1530-891X(20)43378-6/abstract,"https://scholar.google.com/scholar?q=related:EPeE3hngvPEJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
142,R Aronowitz,Framing disease: an underappreciated mechanism for the social patterning of health,2008,Social science & medicine,Elsevier,https://www.sciencedirect.com/science/article/pii/S0277953608001093,"https://scholar.google.com/scholar?cites=4422971170079519088&as_sdt=40005&sciodt=0,10&hl=en",25,2/3/2022 13:42,,,,,,,,,142,10.14,142,1,14,"The emerging fields of social epidemiology and population health seek to understand the social determinants of health. Especially, with regards to how income inequality causes health disparities, attention has been focused on material and psychosocial mechanisms. I …",,"https://scholar.google.com/scholar?q=related:cDFiZNiMYT0J:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
137,"TD Cook, DL DeMets",Introduction to statistical methods for clinical trials,2007,,taylorfrancis.com,https://www.taylorfrancis.com/books/mono/10.1201/9781420009965/introduction-statistical-methods-clinical-trials-thomas-cook-david-demets,"https://scholar.google.com/scholar?cites=11320767265845590382&as_sdt=40005&sciodt=0,10&hl=en",26,2/3/2022 13:42,BOOK,10.1201/9781420009965,,,,,,,137,9.13,69,2,15,"Clinical trials have become essential research tools for evaluating the benefits and risks of new interventions for the treatment and prevention of diseases, from cardiovascular disease to cancer to AIDS. Based on the authors' collective experiences in this field, Introduction to …",,"https://scholar.google.com/scholar?q=related:brmYKdlxG50J:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
132,"Y Almog, V Novack, M Eisinger, A Porath, ...",The effect of statin therapy on infection-related mortality in patients with atherosclerotic diseases,2007,Critical care …,journals.lww.com,https://journals.lww.com/ccmjournal/Fulltext/2007/02000/Relationship_of_hypolipidemia_to_cytokine.00005.aspx,"https://scholar.google.com/scholar?cites=13023958523102534139&as_sdt=40005&sciodt=0,10&hl=en",27,2/3/2022 13:42,,,,,,,,,132,8.8,26,5,15,Objective: Statins have pleiotropic effects that are independent of their lipid-lowering ability. We have previously shown that prior statin therapy is associated with a decreased risk of severe sepsis in patients admitted with acute bacterial infection. The aim of this study was to …,,"https://scholar.google.com/scholar?q=related:-5ny2kVlvrQJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
124,J Le Fanu,The rise and fall of modern medicine,2011,,Hachette UK,,"https://scholar.google.com/scholar?cites=12758030044521180057&as_sdt=40005&sciodt=0,10&hl=en",28,2/3/2022 13:42,CITATION,,,,,,,,124,11.27,124,1,11,,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.966.4799&rep=rep1&type=pdf,"https://scholar.google.com/scholar?q=related:mStyBbugDbEJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
117,"X Zhang, D Wei, Y Yap, L Li, S Guo, ...",Mass spectrometry?based “omics” technologies in cancer diagnostics,2007,Mass spectrometry …,Wiley Online Library,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/mas.20132,"https://scholar.google.com/scholar?cites=15536094905328981398&as_sdt=40005&sciodt=0,10&hl=en",29,2/3/2022 13:42,,10.1002/mas.20132,,,,,,,117,7.8,20,6,15,Many “omics” techniques have been developed for one goal: biomarker discovery and early diagnosis of human cancers. A comprehensive review of mass spectrometry?based “omics” approaches performed on various biological samples for molecular diagnosis of human …,,"https://scholar.google.com/scholar?q=related:ltXjrABMm9cJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
110,"J Hartshorne, A Schachner",Tracking replicability as a method of post-publication open evaluation,2012,Frontiers in computational neuroscience,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fncom.2012.00008/full,"https://scholar.google.com/scholar?cites=4468002402268642060&as_sdt=40005&sciodt=0,10&hl=en",30,2/3/2022 13:42,HTML,10.3389/fncom.2012.00008,,,,,,,110,11,55,2,10,"Recent reports have suggested that many published results are unreliable. To increase the reliability and accuracy of published papers, multiple changes have been proposed, such as changes in statistical methods. We support such reforms. However, we believe that the …",https://www.frontiersin.org/articles/10.3389/fncom.2012.00008/full,"https://scholar.google.com/scholar?q=related:DHvQKoOIAT4J:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
106,"J Niederdeppe, DL Frosch, ...",Cancer news coverage and information seeking,2008,Journal of health …,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/10810730701854110,"https://scholar.google.com/scholar?cites=1189693074256471375&as_sdt=40005&sciodt=0,10&hl=en",31,2/3/2022 13:42,,10.1080/10810730701854110,,,,,,,106,7.57,35,3,14,The shift toward viewing patients as active consumers of health information raises questions about whether individuals respond to health news by seeking additional information. This study examines the relationship between cancer news coverage and information seeking …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2970505/,"https://scholar.google.com/scholar?q=related:T6XMOoyjghAJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
105,"J Niederdeppe, EF Fowler, K Goldstein, ...",Does local television news coverage cultivate fatalistic beliefs about cancer prevention?,2010,Journal of …,academic.oup.com,https://academic.oup.com/joc/article-abstract/60/2/230/4098412,"https://scholar.google.com/scholar?cites=5931730342030229795&as_sdt=40005&sciodt=0,10&hl=en",32,2/3/2022 13:42,,,,,,,,,105,8.75,26,4,12,Many US adults hold fatalistic beliefs about cancer prevention despite evidence that a large proportion of cancer deaths are preventable. We report findings from two studies that assess the plausibility of the claim that local television (TV) news cultivates fatalistic beliefs about …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2885705/,"https://scholar.google.com/scholar?q=related:I0EehFG9UVIJ:scholar.google.com/&scioq=&hl=en&as_sdt=40005&sciodt=0,10&as_ylo=2007&as_yhi=2012"
